59 1629117406.237695787 0 systemd-journal (377) > read cwd=/ fd=17(<t>) size=8  latency=0 exepath=/usr/lib/systemd/systemd-journald cmd= /lib/systemd/systemd-journald 
899 1629117406.487782574 2 gmain (1681) > read cwd=/home/victim/ fd=14(<i>) size=4096  latency=0 exepath=/usr/libexec/tracker-miner-fs cmd= /usr/libexec/tracker-miner-fs 
900 1629117406.487841629 2 gmain (1681) > write cwd=/home/victim/ fd=4(<e>) size=8  latency=0 exepath=/usr/libexec/tracker-miner-fs cmd= /usr/libexec/tracker-miner-fs 
901 1629117406.487859521 2 gmain (1681) > read cwd=/home/victim/ fd=4(<e>) size=16  latency=0 exepath=/usr/libexec/tracker-miner-fs cmd= /usr/libexec/tracker-miner-fs 
927 1629117406.555710596 3 gmain (2164) > write cwd=/home/victim/ fd=7(<e>) size=8  latency=0 exepath=/usr/libexec/gsd-xsettings cmd= /usr/libexec/gsd-xsettings 
928 1629117406.555727576 3 gmain (2164) > read cwd=/home/victim/ fd=11(<i>) size=4096  latency=0 exepath=/usr/libexec/gsd-xsettings cmd= /usr/libexec/gsd-xsettings 
929 1629117406.555763971 3 gmain (2164) > write cwd=/home/victim/ fd=7(<e>) size=8  latency=0 exepath=/usr/libexec/gsd-xsettings cmd= /usr/libexec/gsd-xsettings 
930 1629117406.555781121 3 gmain (2164) > read cwd=/home/victim/ fd=7(<e>) size=16  latency=0 exepath=/usr/libexec/gsd-xsettings cmd= /usr/libexec/gsd-xsettings 
938 1629117406.558932223 3 vmtoolsd (2103) > recvmsg cwd=/home/victim/ fd=9(<u>)  latency=0 exepath=/usr/bin/vmtoolsd cmd= /usr/bin/vmtoolsd -n vmusr --blockFd 3
939 1629117406.558955434 3 vmtoolsd (2103) > recvmsg cwd=/home/victim/ fd=9(<u>)  latency=0 exepath=/usr/bin/vmtoolsd cmd= /usr/bin/vmtoolsd -n vmusr --blockFd 3
973 1629117406.589296541 2 gmain (1681) > write cwd=/home/victim/ fd=4(<e>) size=8  latency=0 exepath=/usr/libexec/tracker-miner-fs cmd= /usr/libexec/tracker-miner-fs 
974 1629117406.589311878 2 gmain (1681) > read cwd=/home/victim/ fd=14(<i>) size=4096  latency=0 exepath=/usr/libexec/tracker-miner-fs cmd= /usr/libexec/tracker-miner-fs 
975 1629117406.589365052 2 gmain (1681) > write cwd=/home/victim/ fd=4(<e>) size=8  latency=0 exepath=/usr/libexec/tracker-miner-fs cmd= /usr/libexec/tracker-miner-fs 
976 1629117406.589383094 2 gmain (1681) > read cwd=/home/victim/ fd=4(<e>) size=16  latency=0 exepath=/usr/libexec/tracker-miner-fs cmd= /usr/libexec/tracker-miner-fs 
1002 1629117406.638178746 0 InputThread (1728) > read cwd=/home/victim/ fd=26(<f>/dev/input/event2) size=6144  latency=0 exepath=/usr/lib/xorg/Xorg cmd= /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
1003 1629117406.638201676 0 InputThread (1728) > read cwd=/home/victim/ fd=26(<f>/dev/input/event2) size=6144  latency=0 exepath=/usr/lib/xorg/Xorg cmd= /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
1004 1629117406.638203450 0 InputThread (1728) < read cwd=/home/victim/ res=-11(EAGAIN) data=  latency=1774 exepath=/usr/lib/xorg/Xorg cmd= /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
1005 1629117406.638246516 0 InputThread (1728) > write cwd=/home/victim/ fd=15(<p>pipe:[53390]) size=1  latency=0 exepath=/usr/lib/xorg/Xorg cmd= /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
1009 1629117406.638301714 0 Xorg (1728) > read cwd=/home/victim/ fd=14(<p>pipe:[53390]) size=40  latency=0 exepath=/usr/lib/xorg/Xorg cmd= /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
1015 1629117406.638670208 0 gnome-terminal- (2529) > recvmsg cwd=/ fd=3(<u>)  latency=0 exepath=/usr/libexec/gnome-terminal-server cmd= /usr/libexec/gnome-terminal-server 
1016 1629117406.638670208 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=5(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
1017 1629117406.638702315 0 gnome-terminal- (2529) > recvmsg cwd=/ fd=3(<u>)  latency=0 exepath=/usr/libexec/gnome-terminal-server cmd= /usr/libexec/gnome-terminal-server 
1018 1629117406.638704289 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=5(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
1019 1629117406.638710662 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=5(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
1020 1629117406.638739583 3 gnome-shell (1952) > write cwd=/home/victim/ fd=4(<e>) size=8  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
1021 1629117406.638801301 0 gnome-terminal- (2529) > recvmsg cwd=/ fd=3(<u>)  latency=0 exepath=/usr/libexec/gnome-terminal-server cmd= /usr/libexec/gnome-terminal-server 
1022 1629117406.638813393 0 gnome-terminal- (2529) > recvmsg cwd=/ fd=3(<u>)  latency=0 exepath=/usr/libexec/gnome-terminal-server cmd= /usr/libexec/gnome-terminal-server 
1023 1629117406.638922249 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=5(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
1024 1629117406.638929822 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=5(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
1025 1629117406.638937516 3 gnome-shell (1952) > write cwd=/home/victim/ fd=4(<e>) size=8  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
1026 1629117406.638960319 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=5(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
1027 1629117406.638965228 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=5(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
1028 1629117406.638974431 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=15(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
1029 1629117406.638981494 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=15(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
1030 1629117406.639011908 3 gnome-shell (1952) > read cwd=/home/victim/ fd=4(<e>) size=16  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
1031 1629117406.639019862 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=5(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
1032 1629117406.639025522 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=5(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
1033 1629117406.639036171 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=5(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
1034 1629117406.639041751 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=5(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
1035 1629117406.639048313 3 gnome-shell (1952) > recvmsg cwd=/home/victim/ fd=15(<u>)  latency=0 exepath=/usr/bin/gnome-shell cmd= /usr/bin/gnome-shell 
